Town,Total_Voters,Democrat,Republican,Libertarian,Unenrolled,Democrat_Total,Republican_Total,Population
ASHFIELD,1378,442,82,5,836,1147,213,1737
BERNARDSTON,1598,319,154,4,1103,1063,513,2129
BUCKLAND,1351,386,85,5,864,1094,241,1902
CHARLEMONT,929,211,88,3,614,644,269,1266
COLRAIN,1221,303,103,2,800,900,306,1671
CONWAY,1532,584,143,3,782,1212,297,1897
DEERFIELD,3748,1164,321,14,2222,2906,801,5125
ERVING,1157,251,107,6,779,797,340,1800
GILL,1104,313,86,2,690,854,235,1500
GREENFIELD,11737,3930,963,49,6643,9266,2270,17456
HAWLEY,254,54,23,0,175,177,75,337
HEATH,534,146,40,0,343,415,114,706
LEVERETT,1500,716,79,1,692,1339,148,1851
LEYDEN,574,135,75,2,356,364,202,711
MONROE,83,6,6,0,71,42,42,121
MONTAGUE,6112,1955,371,20,3699,5064,961,8437
NEW SALEM,755,183,82,3,482,516,231,990
NORTHFIELD,2339,553,272,11,1481,1546,760,3032
ORANGE,4878,913,562,26,3284,2946,1813,7839
ROWE,285,60,27,1,197,196,88,393
SHELBURNE,1396,456,91,4,836,1153,230,1893
SHUTESBURY,1462,653,68,3,721,1306,136,1771
SUNDERLAND,2525,895,184,9,1405,2060,424,3684
WARWICK,607,131,43,2,426,452,148,780
WENDELL,705,231,25,2,444,632,68,848
WHATELY,1190,330,138,4,710,831,347,1496
AGAWAM,21372,5246,3393,82,12366,12755,8250,28438
BLANDFORD,899,139,185,5,561,380,505,1233
BRIMFIELD,2707,422,446,15,1791,1293,1366,3609
CHESTER,889,149,160,8,555,417,447,1337
CHICOPEE,37410,12510,4153,167,20139,27630,9172,55298
EAST LONGMEADOW,11951,2905,2154,26,6721,6764,5016,15720
GRANVILLE,1190,164,233,7,767,481,683,1566
HAMPDEN,3894,644,750,12,2437,1770,2061,5139
HOLLAND,1853,289,299,11,1228,893,923,2481
HOLYOKE,26803,11079,2006,102,13333,22368,4050,39880
LONGMEADOW,12138,3641,2246,32,6098,7412,4573,15784
LUDLOW,14296,4554,1823,48,7682,10040,4019,21103
MONSON,5825,1350,914,27,3446,3405,2305,8560
MONTGOMERY,596,81,96,1,404,266,315,838
PALMER,8221,1984,1020,40,5049,5319,2734,12140
RUSSELL,1164,189,235,6,718,509,633,1775
SOUTHWICK,6849,1258,1590,32,3876,2970,3754,9502
SPRINGFIELD,110613,53882,8389,382,46907,94470,14708,153060
TOLLAND,384,70,80,1,231,178,203,485
WALES,1262,206,171,9,853,672,558,1838
WEST SPRINGFIELD,17576,4834,2407,62,10058,11549,5750,28391
WESTFIELD,26134,6095,4721,118,14802,14436,11182,41094
WILBRAHAM,10706,2703,2069,31,5821,6000,4593,14219
AMHERST,21993,10249,1025,78,10331,19641,1964,37819
BELCHERTOWN,10599,2793,1417,46,6214,6915,3509,14649
CHESTERFIELD,921,242,103,3,564,638,271,1222
CUMMINGTON,657,173,51,4,426,502,148,872
EASTHAMPTON,12262,4302,830,45,6948,10126,1954,16053
GOSHEN,738,191,80,3,460,515,216,1054
GRANBY,4657,1034,690,12,2894,2770,1848,6240
HADLEY,3948,1436,350,11,2123,3143,766,5250
HATFIELD,2606,871,186,7,1523,2126,454,3279
HUNTINGTON,1509,292,210,6,978,861,619,2180
MIDDLEFIELD,358,106,56,1,195,234,123,521
NORTHAMPTON,21112,10783,724,65,9295,19493,1309,28549
PELHAM,1080,531,41,3,495,991,76,1321
PLAINFIELD,482,140,31,0,305,390,86,648
SOUTH HADLEY,11457,3471,1301,52,6504,8202,3074,17514
SOUTHAMPTON,4723,1018,656,11,2990,2836,1828,5792
WARE,6545,1593,795,39,4004,4264,2128,9872
WESTHAMPTON,1309,286,117,5,886,915,374,1607
WILLIAMSBURG,1981,779,113,8,1065,1709,248,2482
WORTHINGTON,986,267,100,5,608,709,266,1156
ACTON,15386,4455,1338,33,9427,11705,3515,21924
ARLINGTON,31381,14251,1709,54,15182,27807,3335,42844
ASHBY,2387,315,355,7,1700,1114,1256,3074
ASHLAND,11765,3180,1221,45,7249,8418,3232,16593
AYER,5774,1330,728,28,3603,3658,2003,7427
BEDFORD,9963,2705,1098,24,6092,7038,2857,13320
BELMONT,17730,6327,1275,21,9986,14638,2950,24729
BILLERICA,28153,6808,3308,89,17683,18709,9090,40243
BOXBOROUGH,3862,970,391,10,2472,2732,1101,4996
BURLINGTON,17813,4767,1939,47,10926,12534,5098,24498
CAMBRIDGE,70733,39558,2380,198,28024,65992,3970,105162
CARLISLE,3897,1055,464,6,2346,2684,1181,4852
CHELMSFORD,25206,5587,2950,70,16419,16332,8624,33802
CONCORD,13584,4840,1510,37,7152,10291,3211,17668
DRACUT,21947,5409,2538,93,13691,14728,6910,29457
DUNSTABLE,2501,505,384,11,1584,1405,1068,3179
EVERETT,20641,9606,1057,56,9720,18362,2021,41667
FRAMINGHAM,41516,14733,3503,140,22755,33117,7874,68318
GROTON,8309,1797,1181,28,5273,4979,3272,10646
HOLLISTON,10745,2845,1336,27,6457,7239,3399,13547
HOPKINTON,12178,2800,2098,47,7121,6871,5148,14925
HUDSON,13483,3188,1430,68,8674,9176,4116,19063
LEXINGTON,22013,8175,1665,31,12046,18183,3703,31394
LINCOLN,4797,1692,477,20,2580,3705,1044,6362
LITTLETON,7193,1655,862,23,4619,4692,2444,8924
LOWELL,60951,22411,4720,278,32721,49440,10412,106519
MALDEN,32525,13588,1736,97,16800,28485,3639,59450
MARLBOROUGH,23231,6677,2500,99,13697,16643,6231,38499
MAYNARD,7804,2462,758,30,4482,5889,1813,10106
MEDFORD,39087,16382,2448,105,19805,33612,5023,56173
MELROSE,20195,6881,1941,53,11177,15599,4400,26983
NATICK,23284,7505,2373,67,13181,17520,5539,33006
NEWTON,60323,25517,4110,120,30183,51513,8297,85146
NORTH READING,11235,2491,1755,45,6859,6515,4590,14892
PEPPERELL,8431,1534,1453,47,5292,4252,4027,11497
READING,19830,5445,2669,62,11450,13129,6435,24747
SHERBORN,3232,854,480,11,1867,2049,1152,4119
SHIRLEY,4307,889,546,18,2800,2624,1611,7211
SOMERVILLE,54684,28464,1925,206,23546,50518,3417,75754
STONEHAM,16584,4908,1713,45,9768,12149,4240,21437
STOW,5334,1322,647,19,3321,3552,1738,6590
SUDBURY,12951,3595,1763,23,7498,8626,4230,17659
TEWKSBURY,22714,5318,2747,78,14339,14773,7631,28961
TOWNSEND,6615,996,1083,34,4437,3122,3394,8926
TYNGSBOROUGH,8932,1807,1124,27,5881,5433,3379,11292
WAKEFIELD,19062,5256,2171,84,11374,13305,5496,24932
WALTHAM,35036,12131,2789,121,19893,28305,6508,60632
WATERTOWN,24447,10221,1632,76,12297,20825,3325,31915
WAYLAND,10331,3009,1080,19,6182,7558,2713,12994
WESTFORD,17009,3567,2107,44,11153,10578,6249,21951
WESTON,8322,2041,1270,15,4944,5089,3166,11261
WILMINGTON,17231,3933,2070,56,11126,11222,5907,22325
WINCHESTER,15653,4495,1865,21,9169,10975,4554,21374
WOBURN,26063,8202,2604,94,14877,19494,6189,38120
NANTUCKET,9090,2718,1167,36,5082,6273,2694,10172
AVON,3294,1075,301,12,1876,2541,711,4356
BELLINGHAM,11212,2392,1490,50,7135,6788,4229,16332
BRAINTREE,27940,8697,2943,75,15994,20647,6987,35744
BROOKLINE,37726,18024,2134,72,17241,33440,3959,58732
CANTON,16467,5005,1843,44,9420,11890,4378,21561
COHASSET,6046,1299,1172,18,3517,3148,2840,7542
DEDHAM,19124,6489,1706,66,10702,14963,3934,24729
DOVER,4259,816,859,6,2568,2067,2176,5589
FOXBOROUGH,13067,2910,1763,38,8275,8063,4885,16865
FRANKLIN,23336,5045,3342,68,14642,13853,9176,31635
HOLBROOK,7578,2407,695,15,4382,5807,1677,10791
MEDFIELD,8942,1808,1324,20,5721,5111,3742,12024
MEDWAY,9680,2026,1351,30,6205,5749,3833,12752
MILLIS,6254,1519,883,24,3764,3899,2267,7891
MILTON,21519,8872,1633,39,10816,18007,3314,27003
NEEDHAM,22400,7418,2455,38,12335,16686,5522,28886
NORFOLK,7220,1375,1304,19,4500,3685,3494,11227
NORWOOD,20907,6697,1910,73,12042,16067,4582,28602
PLAINVILLE,6513,1264,939,17,4222,3686,2739,8264
QUINCY,61442,22499,5006,247,32884,49398,10991,92271
RANDOLPH,21723,10732,1069,44,9724,19575,1950,32112
SHARON,12575,4029,920,34,7542,10169,2322,17612
STOUGHTON,19193,6655,1616,71,10622,15202,3691,26962
WALPOLE,18174,4036,2405,46,11551,11274,6718,24070
WELLESLEY,17947,5239,2770,38,9875,11699,6185,27982
WESTWOOD,11415,2902,1592,14,6852,7327,4019,14618
WEYMOUTH,37208,10856,3694,104,22154,27385,9319,53743
WRENTHAM,8523,1521,1451,44,5384,4276,4080,10955
ABINGTON,11923,2884,1327,48,7584,8078,3717,15985
BRIDGEWATER,16742,3778,2145,72,10507,10480,5950,26563
BROCKTON,56097,27843,3612,211,23644,48772,6327,93810
CARVER,8466,1570,1153,43,5607,4803,3527,11509
DUXBURY,12379,2325,2460,38,7426,5933,6278,15059
EAST BRIDGEWATER,10298,2035,1448,40,6625,5906,4202,13794
HALIFAX,5775,1084,803,28,3779,3255,2411,7518
HANOVER,10688,2163,1616,36,6779,6043,4515,13879
HANSON,7672,1388,1133,38,5029,4157,3393,10209
HINGHAM,17645,4085,2925,46,10452,10176,7286,22157
HULL,9030,2733,963,38,5200,6578,2318,10293
KINGSTON,9779,1993,1511,37,6132,5481,4155,12629
LAKEVILLE,8410,1338,1367,48,5554,4085,4174,10602
MARION,4107,915,670,15,2463,2337,1711,4907
MARSHFIELD,20030,4562,2770,48,12473,12323,7482,25132
MATTAPOISETT,5296,1124,719,11,3401,3198,2046,6045
MIDDLEBOROUGH,17266,3062,2387,89,11541,9547,7443,23116
NORWELL,8015,1666,1465,21,4790,4215,3706,10506
PEMBROKE,13316,2794,1886,19,8566,7908,5338,17837
PLYMOUTH,42819,9498,5984,169,26493,25751,16224,56468
PLYMPTON,2278,370,302,6,1575,1237,1010,2820
ROCHESTER,4500,796,721,11,2910,2323,2104,5232
ROCKLAND,12197,2939,1279,43,7788,8365,3641,17489
SCITUATE,14811,3590,2284,34,8762,8945,5691,18133
WAREHAM,15481,3635,1817,63,9762,10144,5070,21822
WEST BRIDGEWATER,5346,1031,845,18,3397,2898,2375,6916
WHITMAN,10820,2370,1264,52,7008,6940,3702,14489
BOSTON,413649,210730,24042,1309,173719,366659,41832,617660
CHELSEA,16838,8363,904,60,7335,14982,1620,35177
REVERE,28425,11907,1947,99,14184,24098,3940,51755
WINTHROP,12917,4436,1140,28,7272,10221,2627,17497
ASHBURNHAM,4491,887,623,26,2896,2588,1818,6081
ATHOL,7000,1248,871,32,4736,4037,2818,11584
AUBURN,11935,2958,1368,52,7381,8005,3702,16188
BARRE,3689,722,490,15,2402,2153,1461,5398
BERLIN,2341,446,285,12,1571,1405,897,2866
BLACKSTONE,6544,1429,828,28,4157,4061,2353,9026
BOLTON,4077,839,674,11,2517,2235,1795,4897
BOYLSTON,3553,622,476,21,2400,1982,1516,4355
BROOKFIELD,2391,433,342,14,1590,1321,1044,3390
CHARLTON,9785,1630,1621,33,6400,4839,4812,12981
CLINTON,9601,2763,1014,42,5650,6896,2531,13606
DOUGLAS,6453,978,1193,28,4166,2855,3482,8471
DUDLEY,7408,1573,1043,49,4650,4369,2897,11390
EAST BROOKFIELD,1551,280,228,9,1011,837,682,2183
FITCHBURG,25668,7723,2581,132,14882,18877,6309,40318
GARDNER,11932,3099,1383,54,7208,8083,3607,20228
GRAFTON,13147,2961,1797,63,8208,8069,4897,17765
HARDWICK,1804,338,234,14,1194,1044,722,2990
HARVARD,4533,1180,503,15,2788,3135,1336,6520
HOLDEN,13957,2891,2130,43,8740,7923,5838,17346
HOPEDALE,4143,810,515,19,2766,2501,1590,5911
HUBBARDSTON,3359,504,490,10,2322,1681,1635,4382
LANCASTER,5218,933,769,21,3410,2802,2310,8055
LEICESTER,7464,1788,818,31,4785,5071,2320,10970
LEOMINSTER,28256,7351,3082,103,17344,19571,8206,40759
LUNENBURG,8065,1528,1262,34,5132,4339,3583,10086
MENDON,4444,761,725,24,2876,2234,2128,5839
MILFORD,18491,4991,1937,82,11263,13105,5086,27999
MILLBURY,9538,2208,1111,36,6113,6275,3157,13261
MILLVILLE,2238,373,293,8,1531,1230,967,3190
NEW BRAINTREE,760,118,88,5,546,431,321,999
NORTH BROOKFIELD,3480,620,498,14,2301,1896,1523,4680
NORTHBOROUGH,11400,2517,1528,37,7254,7031,4268,14155
NORTHBRIDGE,11186,1993,1860,40,7126,5679,5300,15707
OAKHAM,1360,199,185,3,964,699,649,1902
OXFORD,9315,1973,1204,55,5964,5677,3464,13709
PAXTON,3341,740,447,10,2110,2055,1242,4806
PETERSHAM,960,225,113,8,607,629,316,1234
PHILLIPSTON,1236,175,175,6,867,609,609,1682
PRINCETON,2813,526,440,13,1804,1508,1262,3413
ROYALSTON,905,145,106,5,638,514,375,1258
RUTLAND,6374,1124,1002,21,4163,3325,2964,7973
SHREWSBURY,24098,5973,3320,72,14499,15292,8500,35608
SOUTHBOROUGH,7439,1720,1100,27,4541,4490,2871,9767
SOUTHBRIDGE,11478,3659,1139,62,6529,8638,2689,16719
SPENCER,7935,1641,1031,30,5146,4801,3017,11688
STERLING,6018,1038,1064,19,3852,2940,3014,7808
STURBRIDGE,7323,1559,1230,29,4435,4038,3186,9268
SUTTON,7160,1107,1058,22,4938,3632,3471,8963
TEMPLETON,5255,885,722,15,3583,2858,2332,8013
UPTON,5677,1012,874,25,3709,3002,2593,7542
UXBRIDGE,10125,1951,1448,52,6512,5689,4222,13457
WARREN,3360,658,472,19,2199,1938,1391,5135
WEBSTER,10929,2647,1340,44,6734,7118,3603,16767
WEST BOYLSTON,5534,1120,686,25,3653,3385,2074,7669
WEST BROOKFIELD,2694,583,418,13,1632,1534,1099,3701
WESTBOROUGH,12486,3228,1674,34,7462,8142,4222,18272
WESTMINSTER,5898,1039,900,22,3854,3104,2689,7277
WINCHENDON,6737,1249,964,36,4379,3720,2872,10300
WORCESTER,111233,45239,8917,407,55142,91302,17996,181045
